0,493583
1,479417
2,915260
3,349579
4,987300
5,942359
6,704075
7,904641
8,605198
9,477780
10,160945
11,930420
12,761060
13,775976
14,395323
15,555962
16,805406
17,750349
18,454905
19,400681
20,423437
21,172659
22,673050
23,244820
24,625443
25,270785
26,776758
27,564968
28,267886
29,521398
30,411566
31,361392
32,469927
33,769710
34,883633
35,678356
36,312539
37,478427
38,593886
39,233199
40,910821
41,791979
42,584489
43,311778
44,671593
45,883624
46,615482
47,728781
48,541859
49,769562
50,353489
51,582173
52,457327
53,868059
54,946490
55,124133
56,116875
57,846820
58,633095
59,890736
60,740047
61,804494
62,583828
63,591806
64,838672
65,969435
66,102375
67,307799
68,672451
69,285618
70,253249
71,434844
72,248803
73,850042
74,651310
75,519785
76,461635
77,819798
78,185852
79,403369
80,207864
81,767887
82,268916
83,428874
84,555932
85,168739
86,303720
87,350771
88,781235
89,210117
90,996089
91,763236
92,491171
93,176285
94,915350
95,264219
96,479537
97,535677
98,866559
99,841175
100,173311
101,634835
102,670367
103,381369
104,540514
105,176623
106,901160
107,840061
108,447800
109,187100
110,989827
111,811018
112,738160
113,107865
114,424096
115,652997
116,210709
117,996055
118,974066
119,312448
120,731823
121,250561
122,341080
123,361623
124,853048
125,589229
126,658530
127,272409
128,982216
129,531178
130,488864
131,315524
132,619101
133,918066
134,272438
135,263767
136,736098
137,184071
138,852690
139,915846
140,432613
141,961442
142,779619
143,825161
144,101314
145,240817
146,260181
147,107251
148,739993
149,350720
150,194613
151,126932
152,925348
153,257321
154,725615
155,396157
156,792785
157,971643
158,207674
159,324771
160,287834
161,736702
162,734593
163,803885
164,488348
165,973743
166,471270
167,463117
168,345118
169,301677
170,884442
171,600377
172,611179
173,264162
174,465635
175,984905
176,802824
177,944939
178,654665
179,832460
180,597156
181,288652
182,512294
183,279982
184,882765
185,489426
186,157095
187,497356
188,829026
189,162089
190,295857
191,307541
192,393329
193,905675
194,465593
195,380154
196,812201
197,976514
198,946376
199,103767
200,581033
201,470959
202,630703
203,484899
204,818429
205,156317
206,877562
207,170696
208,629842
209,137616
210,267772
211,675019
212,913086
213,481104
214,904031
215,487112
216,968545
217,953212
218,974543
219,982351
220,518919
221,600757
222,513405
223,295056
224,695957
225,526127
226,867076
227,347055
228,892775
229,486253
230,389237
231,792582
232,642522
233,103982
234,114186
235,611111
236,309725
237,749450
238,723198
239,219196
240,720127
241,175939
242,354811
243,645780
244,295314
245,436035
246,517084
247,683267
248,559472
249,870072
250,436019
251,350042
252,787058
253,971869
254,661513
255,632950
256,380636
257,221510
258,872186
259,127742
260,782837
261,642374
262,634992
263,407147
264,416443
265,257066
266,359081
267,610843
268,379714
269,450539
270,943617
271,499433
272,848567
273,323301
274,346638
275,792513
276,476259
277,381335
278,802111
279,153912
280,949669
281,204946
282,210589
283,218266
284,781624
285,695327
286,217116
287,641500
288,280567
289,117145
290,816005
291,564895
292,353917
293,632691
294,153115
295,561971
296,707338
297,453456
298,974832
299,934385
300,967380
301,956384
302,856463
303,663934
304,753349
305,418011
306,792435
307,837649
308,253569
309,943000
310,544028
311,632686
312,945728
313,921812
314,565745
315,680281
316,873693
317,726998
318,695423
319,690700
320,232988
321,266369
322,700552
323,721880
324,993933
325,734331
326,807655
327,239998
328,933806
329,898391
330,107229
331,944022
332,271238
333,298050
334,748879
335,842193
336,349923
337,912378
338,976416
339,620495
340,423719
341,219012
342,121663
343,608447
344,703435
345,527880
346,894145
